DateTime,AddedIPs,RemovedIPs
1592188567,80,66
1592189542,16,20
1592191450,34,19
1592192702,247,0
1592193370,16,20
1592195303,19,13
1592196246,12,0
1592197212,36,0
1592199902,248,0
1592201312,15,34
1592203207,15,18
1592205127,25,19
1592207064,26,14
1592208965,145,12
1592210887,34,25
1592212820,287,37
1592214730,16,11
1592216648,15,31
1592218581,101,17
1592220489,17,35
1592222413,22,13
1592224347,20,15
1592226512,326,16
1592228409,26,27
1592229601,166,0
1592230328,16,47
1592232563,12,20
1592233202,136,0
1592236565,24,3
1592236802,153,0
1592238484,24,4
1592240413,32,0
1592242347,131,11
1592244250,27,22
1592244511,861,852
1592246167,32,15
1592247602,193,0
1592250005,35,31
1592252171,38,9
1592254088,27,22
1592254802,212,0
1592256021,26,13
1592257931,21,14
1592259847,12,0
1592261782,16,24
1592263685,109,14
1592264645,34,0
1592265615,18,21
1592266501,140,2334
1592267549,21,21
1592269453,25,22
1592271367,20,20
1592273310,52,17
1592273702,198,0
1592275208,15,19
1592277129,52,94
1592279063,22,27
1592280969,46,24
1592282884,218,20
1592284825,15,30
1592286726,20,0
1592288668,208,15
1592290565,9,14
1592292490,19,20
1592294435,17,23
1592296332,134,7
1592298496,19,28
1592299801,268,0
1592300410,5,16
1592302344,12,17
1592303402,128,0
1592304248,11,14
1592306166,13,26
1592307001,121,0
1592308100,11,17
1592310007,9,20
1592311925,17,18
1592313864,13,14
1592314201,276,0
1592315766,42,19
1592317935,16,16
1592319856,14,10
1592321782,147,0
1592323696,130,21
1592325607,36,23
1592327545,13,33
1592329449,116,28
1592331367,22,25
1592332202,201,0
1592333285,22,26
1592335210,26,0
1592335450,807,864
1592337124,33,29
1592339048,20,41
1592340980,151,25
1592342886,14,24
1592343902,212,0
1592344817,15,16
1592346743,27,11
1592348649,23,16
1592349365,36,34
1592350568,16,11
1592351101,211,0
1592352761,13,13
1592354650,18,18
1592356565,25,19
1592358508,15,12
1592360406,159,2677
1592361611,80,79
1592362327,22,13
1592364272,16,19
1592366165,117,16
1592368084,18,13
1592369285,15,43
1592370041,215,15
1592371932,9,10
1592373927,9,20
1592376033,13,13
1592377201,267,0
1592377931,12,12
1592379848,19,12
1592380802,107,0
1592381791,4,6
1592383686,7,27
1592384402,146,0
1592385632,9,17
1592387529,17,8
1592389452,14,8
1592391391,16,9
1592391602,228,0
1592393289,11,11
1592395216,15,9
1592397136,11,11
1592399050,15,13
1592400992,245,13
1592402891,16,38
1592404806,14,12
1592406755,298,16
1592408646,23,23
1592410810,20,18
1592412728,17,33
1592413203,203,0
1592414673,18,12
1592416567,22,15
1592418486,18,20
1592420438,28,20
1592422334,167,26
1592424249,21,34
1592424902,245,0
1592426191,31,23
1592427131,787,794
1592428094,30,26
1592430277,18,18
1592432170,16,14
1592434087,205,26
1592436033,20,20
1592437930,49,81
1592439848,116,12
1592441781,17,20
1592443685,106,2526
1592443802,92,0
1592445615,27,20
1592446808,37,0
1592447544,26,12
1592449711,14,17
1592450648,41,72
1592451002,212,0
1592451607,16,15
1592454485,19,0
1592455466,16,29
1592457370,14,16
1592458202,203,0
1592459286,14,7
1592461209,24,8
1592463126,14,20
1592465062,23,14
1592466966,144,16
1592468885,12,4
1592469002,326,0
1592470838,31,6
1592472730,23,7
1592474894,8,15
1592476811,247,11
1592477102,144,0
1592478742,9,13
1592480648,21,12
1592480702,150,0
1592482566,18,14
1592484501,15,11
1592486406,13,16
1592488325,261,10
1592490265,12,19
1592492196,24,13
1592494088,12,19
1592495102,222,0
1592496026,8,18
1592497932,20,19
1592500094,21,22
1592502008,24,19
1592502302,255,0
1592503941,19,19
1592505847,16,15
1592507768,15,22
1592509702,15,22
1592511606,111,21
1592513627,12,32
1592515471,171,26
1592517366,8,18
1592518448,799,803
1592519582,15,15
1592521753,223,22
1592522882,38,0
1592523607,21,22
1592524802,80,2730
1592525791,16,9
1592527699,25,16
1592529609,13,17
1592531544,60,59
1592532002,244,0
1592533449,14,28
1592535370,61,26
1592535603,109,0
1592537303,18,10
1592539254,11,13
1592543057,238,51
1592545032,15,19
1592546990,127,13
1592548811,8,19
1592550731,11,15
1592552671,22,23
1592553602,241,2
1592554571,21,20
1592556543,21,11
1592558431,18,28
1592560333,15,26
1592560802,280,0
1592562257,22,6
1592564185,12,33
1592566091,7,8
1592568094,11,18
1592569951,134,14
1592571851,10,15
1592572502,245,0
1592573771,20,9
1592575713,16,20
1592577617,10,11
1592579536,18,23
1592581472,151,9
1592583370,19,8
1592584201,240,0
1592585289,18,16
1592587226,17,17
1592589134,21,18
1592591049,10,15
1592591401,251,0
1592592989,14,18
1592594889,14,16
1592596814,15,16
1592598754,19,6
1592600652,198,12
1592602571,27,7
1592604517,23,7
1592606409,152,14
1592607850,34,32
1592608335,519,419
1592609546,430,394
1592610278,17,23
1592612174,11,0
1592613002,177,2885
1592617931,17,51
1592620098,96,146
1592622035,92,21
1592623932,15,15
1592627766,205,0
1592629949,21,28
1592631849,110,13
1592633796,8,14
1592635501,170,0
1592637609,12,18
1592639553,12,16
1592641450,18,21
1592643369,215,21
1592645306,20,17
1592647211,13,14
1592649149,23,15
1592651056,114,11
1592652972,17,7
1592653501,225,0
1592655157,10,5
1592659273,22,22
1592661601,216,0
1592663078,18,36
1592664979,14,11
1592665202,115,0
1592667209,10,14
1592669068,111,13
1592670967,9,17
1592672891,5,17
1592674825,16,17
1592676737,188,21
1592678652,16,8
1592680585,7,15
1592682489,20,14
1592683202,168,0
1592684424,21,13
1592688250,13,40
1592690185,16,27
1592690402,139,0
1592692089,14,22
1592694019,4,19
1592695947,17,17
1592696408,42,88
1592699547,581,498
1592699770,352,423
1592700011,13,24
1592701932,16,0
1592703869,112,2723
1592704815,43,0
1592705772,12,13
1592707691,17,20
1592708892,144,75
1592709301,97,0
1592712112,12,26
1592712725,7,17
1592713943,11,0
1592715852,13,0
1592716502,180,0
1592717798,18,20
1592719694,7,18
1592721608,21,7
1592723551,22,0
1592723701,151,0
1592725451,10,7
1592727367,5,7
1592729311,12,13
1592731210,176,15
1592733131,10,21
1592735071,8,9
1592736967,18,19
1592738102,141,1
1592738907,16,15
1592740810,17,16
1592742733,14,16
1592744668,13,0
1592746569,109,20
1592748489,18,0
1592748901,168,0
1592750428,12,13
1592752328,16,12
1592754269,15,12
1592756166,10,12
1592757002,155,0
1592758090,17,9
1592760025,18,6
1592760602,84,0
1592763868,5,37
1592765770,9,15
1592767686,15,5
1592767802,171,0
1592769631,13,16
1592771533,9,16
1592773695,9,0
1592775609,176,11
1592777557,11,17
1592779452,14,11
1592781366,36,0
1592782202,161,0
1592783307,12,21
1592785208,9,0
1592787128,8,13
1592789071,8,13
1592790511,879,3145
1592790967,26,18
1592793368,74,78
1592796730,149,34
1592797502,262,0
1592798648,16,12
1592800591,14,7
1592801046,24,32
1592802501,21,17
1592804414,16,15
1592804702,198,0
1592806588,15,4
1592808490,17,20
1592810408,9,20
1592812346,136,9
1592814249,147,7
1592816169,10,12
1592818086,12,10
1592820013,150,7
1592821950,20,14
1592823602,315,0
1592823857,9,18
1592825769,17,17
1592827790,99,17
1592829612,21,11
1592830802,122,0
1592831530,19,16
1592833465,12,12
1592834402,165,1
1592835366,36,16
1592837531,22,11
1592838002,128,0
1592839448,18,15
1592841386,34,14
1592843286,24,11
1592845202,202,0
1592847152,22,30
1592849126,16,0
1592850968,22,6
1592852921,208,4
1592854807,23,11
1592856731,24,11
1592858675,31,9
1592859602,231,0
1592860578,20,10
1592862488,17,12
1592864410,17,9
1592866330,19,13
1592869924,146,74
1592870166,18,13
1592871301,226,2038
1592874023,20,27
1592875931,15,11
1592878569,41,0
1592880009,220,26
1592881964,860,770
1592882407,132,63
1592883850,18,14
1592885769,9,16
1592886250,24,0
1592887710,17,13
1592889606,208,21
1592891548,26,12
1592893751,8,12
1592896178,20,11
1592896502,244,0
1592898030,16,10
1592899929,6,7
1592901869,13,4
1592904034,159,10
1592905928,16,11
1592907852,12,13
1592909787,266,13
1592911686,14,10
1592913610,18,17
1592915550,158,9
1592917448,25,18
1592919387,131,15
1592921288,18,7
1592923206,16,30
1592925149,282,22
1592927047,18,15
1592928971,35,32
1592930911,285,22
1592932805,24,0
1592934302,90,0
1592934726,17,20
1592936649,15,17
1592938567,28,18
1592940503,19,15
1592941502,158,0
1592942410,24,20
1592944328,29,20
1592946512,23,29
1592948408,13,22
1592948702,139,0
1592950326,17,14
1592952266,18,15
1592954168,16,16
1592954883,39,0
1592955902,159,0
1592958023,13,13
1592959925,21,0
1592961847,21,14
1592963287,39,33
1592963784,179,2736
1592965686,10,0
1592967130,40,0
1592967611,19,16
1592969544,16,17
1592970302,225,0
1592971712,16,18
1592973608,17,4
1592973873,856,834
1592974819,13,37
1592975528,12,16
1592977468,19,16
1592978402,191,0
1592979370,12,23
1592981291,22,7
1592982003,133,0
1592983225,16,16
1592985125,11,15
1592985602,117,0
1592987049,6,4
1592988983,12,14
1592989202,243,0
1592990886,18,9
1592992821,17,13
